ID_Sinal,ID_Investidor,ID_Pessoa,Investidor,Pessoa,Categoria,Sinal_Público,Contexto_da_Fonte,Hook_Seguro,Adequação_Outreach,Sensibilidade,URL_Fonte,Data_Verificação,Estado,Notas
SIG0001,INV005,PER0022,Speedinvest,Marie-Hélène Ametsreiter,Interesse público,"Montanha, viagens e política",Interesses declarados no perfil oficial.,"Se surgir naturalmente, relacionar resiliência de longo prazo ou contexto político do setor; não usar como abertura artificial.",Secundário,Baixa,https://www.speedinvest.com/team-members/marie-helene-ametsreiter,2026-09-09,Verificado,
SIG0002,INV010,PER0068,Creandum,Staffan Helgesson,Interesse / valor,Desporto e trabalho de equipa,O perfil relaciona desporto com aprendizagem sobre equipas.,Pode sustentar uma pergunta sobre como constrói equipas fundadoras fortes.,Bom,Baixa,https://creandum.com/team/staffan-helgesson/,2026-09-09,Verificado,
SIG0003,INV010,PER0069,Creandum,Carl Fritjofsson,Interesse / percurso,"Videojogos, internet inicial e experiência como founder",O perfil liga curiosidade tecnológica precoce à carreira e descreve erros de escala na Wrapp.,Usar a aprendizagem de founder para discutir disciplina de escala; jogos só se houver afinidade real com o produto.,Bom,Baixa,https://creandum.com/team/carl-fritjofsson/,2026-09-09,Verificado,
SIG0004,INV010,PER0077,Creandum,Richard Keuntje,Interesse / valor,"Família criativa, desenho e curiosidade por culturas","Perfil oficial liga criatividade, autonomia e responsabilidade à forma como avalia risco.",Perguntar sobre o cenário em que tudo corre bem e como equilibrar autonomia com responsabilidade.,Bom,Baixa,https://creandum.com/team/richard-keuntje/,2026-09-09,Verificado,
SIG0005,INV010,PER0079,Creandum,Maria Raga,Interesse público,"Culturas, línguas e construção de equipas",O perfil liga percurso internacional a crescimento pessoal e liderança.,"Se a empresa for internacional, abordar como preservar cultura durante expansão.",Bom,Baixa,https://creandum.com/team/maria-raga/,2026-09-09,Verificado,
SIG0006,INV011,PER0085,Northzone,Sanjot Malhi,Percurso / interesse,Ex-jogador profissional de futebol; interesse em restaurantes e cheeseburgers,Factos auto-divulgados no perfil da Northzone.,Futebol pode apoiar uma analogia leve sobre competição e equipa; evitar referências pessoais gratuitas.,Secundário,Baixa,https://northzone.com/team/sanjot-malhi,2026-09-09,Verificado,
SIG0007,INV012,PER0096,Project A,Ben Fischer,Interesse público,"Mountain bike, splitboard e exploração de locais remotos",Interesses auto-divulgados no perfil oficial.,Usar apenas numa conversa já estabelecida ou se houver ligação autêntica a mobilidade/outdoor.,Secundário,Baixa,https://www.project-a.com/team/ben-fischer/,2026-09-09,Verificado,
SIG0008,INV012,PER0093,Project A,Uwe Horstmann,Causa / atividade pública,Disaster logistics e trabalho com organizações internacionais,O perfil descreve trabalho de campo e consultoria a organizações da ONU.,"Em logística, resiliência ou impacto, ligar a solução a um caso operacional real e pedir opinião.",Forte se relevante,Baixa,https://www.project-a.com/team/uwe-horstmann/,2026-09-09,Verificado,
SIG0009,INV013,PER0102,Dawn Capital,Josh Bell,Interesse / causa pública,"Corrida, teatro e atividade filantrópica",Perfil oficial menciona corrida e ligação a instituições de educação e teatro.,A causa só deve surgir se o projeto tiver ligação direta e respeitosa; corrida/teatro não são bons cold-openers.,Secundário,Baixa,https://www.dawncapital.com/team/josh-bell,2026-09-09,Verificado,
SIG0010,INV013,PER0103,Dawn Capital,Norman Fiore,Causa / interesse público,Promoção de equilíbrio de género; foosball,Perfil oficial identifica função na Balance in Business e interesse em foosball.,"Em people/HR, pode perguntar como mede mudança de representação; foosball é apenas conversa informal posterior.",Bom se relevante,Baixa,https://www.dawncapital.com/team/norman-fiore,2026-09-09,Verificado,
SIG0011,INV013,PER0106,Dawn Capital,Shamillah Bankiya,Interesse público,Livros de pensadores claros e viagens; visitou 51 países,Auto-divulgado no perfil oficial.,Pode enquadrar uma pergunta sobre mercados internacionais; não usar contagem de países como falsa familiaridade.,Secundário,Baixa,https://www.dawncapital.com/team/shamillah-bankiya,2026-09-09,Verificado,
SIG0012,INV013,PER0107,Dawn Capital,Dan Chaplin,Interesse público,"História, música, viagens e cricket",Interesses auto-divulgados no perfil oficial.,História pode ligar-se de forma natural à maneira como narrativas moldam categorias; restantes interesses só após relação criada.,Bom,Baixa,https://www.dawncapital.com/team/dan-chaplin,2026-09-09,Verificado,
SIG0013,INV014,PER0115,Octopus Ventures,Santiago Fernandez,Interesse público,"Arsenal, ténis, padel, ski e kitesurf",Interesses auto-divulgados no perfil oficial.,"Usar apenas como afinidade secundária e autêntica, nunca como substituto da relevância do negócio.",Secundário,Baixa,https://octopusventures.com/team/fintech/santiago-fernandez/,2026-09-09,Verificado,
SIG0014,INV027,PER0210,Partech,Boris Golden,Interesse / percurso,Antigo DJ; investigador e founder de HR SaaS,Factos auto-divulgados no perfil oficial.,A experiência de founder e investigação é um hook forte; DJ apenas em contexto informal ou ligado ao produto.,Bom,Baixa,https://partechpartners.com/team/boris-golden,2026-09-09,Verificado,
SIG0015,INV027,PER0209,Partech,Romain Lavault,Interesse público,"Música eletrónica, oceano, boxe e ski",Interesses auto-divulgados no perfil oficial.,Música/tecnologia pode ser útil em creator tools; restantes sinais são melhores após o primeiro contacto.,Secundário,Baixa,https://partechpartners.com/team/romain-lavault,2026-09-09,Verificado,
SIG0016,INV032,PER0230,Smedvig Ventures,Joe Knowles,Causa pública,Advisor da Sustainability First,Atividade declarada no perfil profissional.,"Se o projeto tiver relevância ambiental, perguntar que problema de implementação observa nessa atividade.",Bom se relevante,Baixa,https://smedvig.vc/people/joe-knowles/,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0017,INV032,PER0229,Smedvig Ventures,Jon Lerner,Interesse público,Ciclismo e montanha,Interesses declarados na entrevista do perfil.,Afinidade para uma conversa já estabelecida ou produto outdoor; a tese comercial deve continuar a ser o ponto principal.,Secundário,Baixa,https://smedvig.vc/people/jon-lerner/,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0018,INV032,PER0231,Smedvig Ventures,Rob Toms,Interesse público,Triatlo e preparação de cocktails,Interesses declarados no perfil.,Usar como tema informal quando houver afinidade real; não inferir hábitos ou personalidade.,Secundário,Baixa,https://smedvig.vc/people/rob-toms/,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0019,INV032,PER0232,Smedvig Ventures,Peter Duffy,Recomendação cultural,Podcast The Rest is History,Recomendação pessoal no perfil.,"Se conheces um episódio relevante, relacionar a pergunta com uma aprendizagem concreta.",Secundário,Baixa,https://smedvig.vc/people/peter-duffy/,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
