host,pais,registo
find-and-update.company-information.service.gov.uk,GB,Companies House
kbopub.economie.fgov.be,BE,KBO/BCE
economie.fgov.be,BE,KBO/BCE
unternehmensregister.de,DE,Unternehmensregister
handelsregister.de,DE,Handelsregister
annuaire-entreprises.data.gouv.fr,FR,Annuaire des Entreprises
data.inpi.fr,FR,INPI RNE
justizonline.gv.at,AT,Firmenbuch
firmenbuch.at,AT,Firmenbuch
zefix.ch,CH,Zefix
kvk.nl,NL,Kamer van Koophandel
brreg.no,NO,Bronnoysundregistrene
cvr.dk,DK,CVR
tietopalvelu.ytj.fi,FI,YTJ
ytj.fi,FI,YTJ
prh.fi,FI,PRH
bolagsverket.se,SE,Bolagsverket
core.cro.ie,IE,CRO
cro.ie,IE,CRO
or.justice.cz,CZ,Obchodni rejstrik
ekrs.ms.gov.lv,LV,Uznemumu registrs
rekvizitai.vz.lt,LT,Registru centras
