ID_Hook,ID_Investidor,ID_Pessoa,Investidor,Pessoa,Tipo_Conteúdo,Título,Data_Publicação,Tema,Ponto_de_Vista,Hook_Sugerido,URL_Fonte,Estado_Verificação,Confiança,Adequação_Outreach,Sensibilidade,Nota_de_Uso
HOK0001,INV001,PER0001,Point Nine,Christoph Janz,Artigo,The P9 Guide to Cohort Analysis in SaaS,2023-06-18,SaaS metrics,Defende análise de cohorts para perceber retenção e qualidade do crescimento.,Partilhar a tua cohort principal e pedir-lhe opinião sobre o padrão de retenção.,https://writing.pointnine.com/p/the-p9-guide-to-cohort-analysis-in,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0002,INV001,PER0001,Point Nine,Christoph Janz,Artigo,Will AI accelerate vertical SaaS?,2023-09-07,AI; vertical SaaS,Explora se a IA aumenta velocidade e vantagem em software vertical.,"Explicar onde a IA altera a economia da categoria, não apenas uma feature.",https://writing.pointnine.com/p/will-ai-accelerate-vertical-saas,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0003,INV002,PER0006,Seedcamp,Carlos Eduardo Espinal,Livro / Podcast,The Fundraising Field Guide,,Fundraising,Trata fundraising como processo estruturado e relacional.,Referir uma decisão concreta tomada com base no guia e apresentar a ronda com clareza.,https://seedcamp.com/people/carlos-eduardo-espinal/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0004,INV002,PER0005,Seedcamp,Reshma Sohoni,Perfil / entrevista,Scaling European founders globally,,Expansão internacional,"O perfil salienta experiência em M&A, Vodafone e expansão de startups para os EUA.",Perguntar qual marco demonstra que a empresa está pronta para expansão internacional.,https://seedcamp.com/people/reshma-sohoni/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0005,INV005,PER0020,Speedinvest,Markus Lang,Artigo,We Invest in the Building Blocks for Modern Software Companies,2022-09-20,SaaS; infrastructure,A equipa procura building blocks do software moderno em pre-seed e seed.,Enquadrar o produto como infraestrutura indispensável e explicar a wedge inicial.,https://www.speedinvest.com/knowledge/the-speedinvest-saas-infra-team-introducing-our-thesis,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0006,INV005,PER0027,Speedinvest,Frederik Hagenauer,Artigo,We Invest in the Building Blocks for Modern Software Companies,2022-09-20,SaaS; infrastructure,Coautor da tese de SaaS e infraestrutura da Speedinvest.,Conectar a arquitetura do produto a uma mudança estrutural na stack moderna.,https://www.speedinvest.com/knowledge/the-speedinvest-saas-infra-team-introducing-our-thesis,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0007,INV005,PER0026,Speedinvest,Florian Obst,Artigo,We Invest in the Building Blocks for Modern Software Companies,2022-09-20,SaaS; infrastructure,Coautor da tese de SaaS e infraestrutura.,Mostrar por que a solução se torna um componente central e difícil de substituir.,https://www.speedinvest.com/knowledge/the-speedinvest-saas-infra-team-introducing-our-thesis,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0008,INV005,PER0022,Speedinvest,Marie-Hélène Ametsreiter,Perfil / artigo,Closing Germany's Innovation Gap,,Climate; industrial tech,Defende ligação entre startups e corporações para acelerar inovação.,Apresentar uma parceria industrial concreta que o capital pode desbloquear.,https://www.speedinvest.com/team-members/marie-helene-ametsreiter,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0009,INV006,PER0034,Index Ventures,Shardul Shah,Perfil / entrevista,"Investment philosophy: founder, conviction, intentionality",,Cybersecurity; AI; enterprise,"Resume a filosofia em fundador, convicção extrema e atuação intencional.",Abrir com a convicção não consensual e a prova técnica que a suporta.,https://www.indexventures.com/team/shardul-shah/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0010,INV007,PER0044,Atomico,Ben Blume,Perfil / reflexão,Conviction does not end with the investment,,AI; enterprise; physical industries,"Valoriza utilidade de longo prazo em hiring, scaling e momentos difíceis.",Relacionar o pedido com um problema operacional difícil que exige software e execução de longo prazo.,https://20.atomico.com/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
