ID_Fonte,URL,Publisher,Tipo_Fonte,Prova_Para,ID_Registo,Data_Verificação,Estado,Notas
SRC00001,https://www.pointnine.com/,www.pointnine.com,Tese / critérios,Investidor,INV001,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00002,https://www.pointnine.com/team,www.pointnine.com,Equipa,Investidor,INV001,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00003,https://seedcamp.com/faqs/,seedcamp.com,Tese / critérios,Investidor,INV002,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00004,https://seedcamp.com/our-team/,seedcamp.com,Equipa,Investidor,INV002,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00005,https://www.jme.vc/,www.jme.vc,Tese / critérios,Investidor,INV003,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00006,https://www.jme.vc/,www.jme.vc,Equipa,Investidor,INV003,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00007,https://www.picuscap.com/philosophy/,www.picuscap.com,Tese / critérios,Investidor,INV004,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00008,https://www.picuscap.com/team/,www.picuscap.com,Equipa,Investidor,INV004,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00009,https://www.speedinvest.com/how-we-work,www.speedinvest.com,Tese / critérios,Investidor,INV005,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00010,https://www.speedinvest.com/team,www.speedinvest.com,Equipa,Investidor,INV005,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00011,https://www.indexventures.com/companies/,www.indexventures.com,Tese / critérios,Investidor,INV006,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00012,https://www.indexventures.com/team/,www.indexventures.com,Equipa,Investidor,INV006,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00013,https://20.atomico.com/,20.atomico.com,Tese / critérios,Investidor,INV007,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00014,https://20.atomico.com/,20.atomico.com,Equipa,Investidor,INV007,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00015,https://www.balderton.com/about-balderton/,www.balderton.com,Tese / critérios,Investidor,INV008,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00016,https://www.balderton.com/team/,www.balderton.com,Equipa,Investidor,INV008,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00017,https://cherry.vc/about,cherry.vc,Tese / critérios,Investidor,INV009,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00018,https://cherry.vc/team,cherry.vc,Equipa,Investidor,INV009,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00019,https://creandum.com/,creandum.com,Tese / critérios,Investidor,INV010,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00020,https://creandum.com/team/,creandum.com,Equipa,Investidor,INV010,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00021,https://northzone.com/,northzone.com,Tese / critérios,Investidor,INV011,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00022,https://northzone.com/team,northzone.com,Equipa,Investidor,INV011,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00023,https://www.project-a.com/,www.project-a.com,Tese / critérios,Investidor,INV012,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00024,https://www.project-a.com/team/,www.project-a.com,Equipa,Investidor,INV012,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00025,https://www.dawncapital.com/content-hub/dawn-raises-700m-to-invest-in-the-next-generation-ofeuropean-b2b-software-winners,www.dawncapital.com,Tese / critérios,Investidor,INV013,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00026,https://www.dawncapital.com/team,www.dawncapital.com,Equipa,Investidor,INV013,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00027,https://octopusventures.com/,octopusventures.com,Tese / critérios,Investidor,INV014,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00028,https://octopusventures.com/,octopusventures.com,Equipa,Investidor,INV014,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
SRC00029,https://www.notion.vc/resources/notion-capital-on-track-to-becoming-the-go-to-investor-for-cloud-and-saas-entrepreneurs,www.notion.vc,Tese / critérios,Investidor,INV015,2026-09-09,Ativa,Fonte pública; verificar novamente antes de outreach.
