ID_Investidor,Nome,Tipo,Website,País_Sede,Cidades,Estágios,Ticket_Min_M,Ticket_Max_M,Moeda,Ticket_Notas,Setores,Modelos,Geografia_Startups,Lidera_Rondas,Tese,Critérios,Contacto_Geral,Envio_Pitch,Fonte_Tese,Fonte_Equipa,Data_Verificação,Confiança,Notas
INV001,Point Nine,VC,https://www.pointnine.com/,Alemanha,Berlim,Pre-seed; Seed; Series A,1,10,USD,Investimento por empresa divulgado como $1m–$10m; confirmar tranche inicial.,B2B SaaS; AI; software; tecnologia aplicada ao mundo físico e biológico,B2B; software,Europa como base; investimento global,Frequentemente,"Early-stage VC europeu, com orientação global e forte histórico em SaaS; procura software e IA com potencial de categoria.",Ambição global; equipa forte; produto com possibilidade de escala,info@pointnine.com,Website / formulário,https://www.pointnine.com/,https://www.pointnine.com/team,2026-09-09,Alta,Ticket não descrito claramente como cheque inicial.
INV002,Seedcamp,VC,https://seedcamp.com/,Reino Unido,Londres,Pre-seed; Seed,0.35,1.25,USD,Faixa de investimento inicial publicada no FAQ.,Software; fintech; health; climate; deeptech; consumer,B2B; B2C; marketplaces,Europa e Israel; ambição global,Sim / co-lidera,"Investe no primeiro cheque, desde pré-produto/pré-receita até depois do lançamento, apoiando empresas europeias a escalar globalmente.",Fundadores ambiciosos; early product insight; grande mercado,Via aplicação no website,Formulário de pitch,https://seedcamp.com/faqs/,https://seedcamp.com/our-team/,2026-09-09,Alta,
INV003,JME Ventures,VC,https://www.jme.vc/,Espanha,Madrid,Seed; Series A,0.1,3,EUR,"A página apresenta €100k–€3m e também €0,5m–€2m; tratar como intervalo indicativo.",Tecnologia; software; marketplaces; consumer,B2B; B2C,Espanha; startups com ligação forte ao mercado espanhol,Sim,"Fundo seed espanhol, generalista em tecnologia, que acompanha equipas desde fases iniciais.",Tecnologia defensável; equipa; dimensão de mercado,Via website,Website,https://www.jme.vc/,https://www.jme.vc/,2026-09-09,Média,Contradição de ticket assinalada para revisão.
INV004,Picus Capital,VC,https://www.picuscap.com/,Alemanha,Munique; Berlim; Londres; Nova Iorque,Pre-seed; Seed; Series A,,,,Não publica faixa geral de ticket na fonte usada.,Energy & Climate; Fintech; Enterprise Infrastructure; Cybersecurity; GenAI; Health,B2B; B2C,Global,Caso a caso,"Capital privado de longo prazo para fundadores desde o início, com foco em grandes transformações tecnológicas.",Mercado grande; fundadores excepcionais; tecnologia transformadora,info@picuscap.com,Website,https://www.picuscap.com/philosophy/,https://www.picuscap.com/team/,2026-09-09,Alta,
INV005,Speedinvest,VC,https://www.speedinvest.com/,Áustria,Viena; Berlim; Londres; Paris; Munique,Inception; Pre-seed; Seed; Growth,0.25,30,EUR,€250k–€5m em inception/seed; €5m–€30m em growth.,AI & Infra; Climate & Industrial; Deeptech; Fintech; Health & Bio; Marketplaces & Consumer,B2B; B2C; marketplaces,Europa e além,Sim; 85% das rondas iniciais lideradas,Fundo europeu multi-equipa com especialistas setoriais e capacidade desde a criação até growth.,Fundadores persistentes; categoria grande; adequação à equipa especialista,Via website,Formulário / contacto,https://www.speedinvest.com/how-we-work,https://www.speedinvest.com/team,2026-09-09,Alta,
INV006,Index Ventures,VC,https://www.indexventures.com/,Reino Unido / Suíça,Londres; Genebra; São Francisco; Nova Iorque,Seed; Venture; Growth; IPO,,,,Faixa geral não publicada na fonte usada.,Software; AI; fintech; security; consumer; marketplaces; health,B2B; B2C; marketplaces,"Global, com raízes fortes na Europa",Sim / co-lidera,"Investidor multi-stage organizado por conhecimento de domínio, com relações longas desde seed até IPO.",Fundadores com visão; mercados grandes; convicção contrarian,Contacto institucional,Website / rede,https://www.indexventures.com/companies/,https://www.indexventures.com/team/,2026-09-09,Alta,
INV007,Atomico,VC,https://atomico.com/,Reino Unido,Londres,Inception; Seed; Series A; Growth; IPO,,,,Faixa geral não publicada na fonte usada.,AI; enterprise; climate; deeptech; fintech; health; consumer,B2B; B2C,Europa; apoio à expansão global,Sim / co-lidera,"Criado para permitir que fundadores europeus construam empresas globais na Europa, com apoio desde a criação ao IPO.",Ambição global; inovação tecnológica; equipa,Via website,Website,https://20.atomico.com/,https://20.atomico.com/,2026-09-09,Média,Página institucional atual confirma tese; composição detalhada da equipa requer revisão periódica.
INV008,Balderton Capital,VC,https://www.balderton.com/,Reino Unido,Londres; presença europeia,Seed; Early stage; Growth; IPO,,,,Fundos early e growth; ticket geral não publicado na fonte usada.,Tecnologia generalista; AI; fintech; enterprise; consumer; health; climate,B2B; B2C,Europa,Sim / co-lidera,"Fundo europeu multi-stage, com parceria igualitária e apoio de seed até IPO.",Empresas tecnológicas ambiciosas nascidas na Europa,Via website,Website,https://www.balderton.com/about-balderton/,https://www.balderton.com/team/,2026-09-09,Alta,
INV009,Cherry Ventures,VC,https://cherry.vc/,Alemanha,Berlim; Londres; Estocolmo,Pre-seed; Seed; Series A,2,7,EUR,Ticket típico divulgado: €2m–€7m.,Generalista; B2B software; fintech; industrial; healthtech; climate; consumer,B2B; B2C,Pan-europeu,Sim / co-lidera,"Fundo early-stage com seed como núcleo; procura anomalia, fio condutor e personalidade na equipa.",Anomalia; coerência da visão; personalidade e resiliência,Via website,Website,https://cherry.vc/about,https://cherry.vc/team,2026-09-09,Alta,
INV010,Creandum,VC,https://creandum.com/,Suécia,Estocolmo; Londres; Berlim; São Francisco,Early stage,,,,Faixa geral não publicada na fonte usada.,SaaS; AI; consumer; climate; fintech; deeptech,B2B; B2C,Europa; apoio global,Sim / co-lidera,"Fundo tecnológico early-stage europeu que trabalha em equipa e combina experiência de operadores, fundadores e especialistas.",Fundadores excepcionais; potencial global; convicção temática,Via website,Website,https://creandum.com/,https://creandum.com/team/,2026-09-09,Média,
