ID_Pessoa,ID_Investidor,Investidor,Nome,Cargo_Atual,Decisor,Nível_Decisão,Localização,Foco_Setorial,Foco_Fase,Experiência_Anterior,Empresas_Portfólio,Email_Público,LinkedIn,Perfil_Oficial,Hook_Principal,Fundamento_do_Hook,Fonte_Principal,Data_Verificação,Confiança,Estado_Perfil,Notas
PER0001,INV001,Point Nine,Christoph Janz,Partner,Sim,Decisor,Berlim,B2B SaaS; métricas; AI,Seed; Series A,Fundador e operador de internet/SaaS,Zendesk; Typeform; Contentful,,https://www.linkedin.com/in/christophjanz,https://www.pointnine.com/team,Referir a análise de cohorts ou a questão sobre AI acelerar vertical SaaS.,Publicou guias detalhados sobre cohort analysis e vertical SaaS.,https://www.pointnine.com/team,2026-09-09,Alta,Enriquecido,
PER0002,INV001,Point Nine,Pawel Chudzinski,Partner,Sim,Decisor,Berlim,SaaS; marketplaces,Seed; Series A,Co-fundador da Point Nine,Delivery Hero; Mambu,,,https://www.pointnine.com/team,Ligar a conversa à experiência de escalar empresas europeias globalmente.,Perfil de cofundador e portfólio internacional.,https://www.pointnine.com/team,2026-09-09,Média,Parcial,
PER0003,INV001,Point Nine,Louis Coppey,Partner,Sim,Decisor,Paris,SaaS; fintech; software,Seed; Series A,Investidor early-stage,Revolut; Qonto,,,https://www.pointnine.com/team,Relacionar o produto com software europeu de elevada frequência e expansão internacional.,Foco e portfólio apresentados no perfil da equipa.,https://www.pointnine.com/team,2026-09-09,Média,Parcial,
PER0004,INV001,Point Nine,Ricardo Sequerra Amram,Partner,Sim,Decisor,Berlim,SaaS; AI; produtividade,Seed; Series A,Investidor e operador,Factorial; Attio,,,https://www.pointnine.com/team,Mostrar uma hipótese concreta de adoção e retenção em software B2B.,Histórico do portfólio em software B2B.,https://www.pointnine.com/team,2026-09-09,Média,Parcial,
PER0005,INV002,Seedcamp,Reshma Sohoni,Co-Founder & Managing Partner,Sim,Decisor,Londres,Early-stage tech; expansão global,Pre-seed; Seed,M&A banking; Vodafone,UiPath; Wise; Revolut,,,https://seedcamp.com/people/reshma-sohoni/,Explicar como a empresa pode sair da Europa e construir distribuição internacional.,Perfil destaca expansão para os EUA e crescimento global.,https://seedcamp.com/people/reshma-sohoni/,2026-09-09,Alta,Enriquecido,
PER0006,INV002,Seedcamp,Carlos Eduardo Espinal,Managing Partner,Sim,Decisor,Londres,Fundraising; SaaS; equipas,Pre-seed; Seed,GTE CyberTrust; SIAC/NYSE R&D,Hopin; Wefox,,,https://seedcamp.com/people/carlos-eduardo-espinal/,Usar uma lição concreta do Fundraising Field Guide para enquadrar a ronda.,Autor e host de conteúdos sobre fundraising e dinâmica de equipas.,https://seedcamp.com/people/carlos-eduardo-espinal/,2026-09-09,Alta,Enriquecido,
PER0007,INV002,Seedcamp,Tom Wilson,Partner,Sim,Decisor,Londres,Fintech; enterprise; software,Pre-seed; Seed,Investimento e operações,,,,https://seedcamp.com/our-team/,Apresentar um insight de distribuição e uma razão clara para ganhar o mercado europeu.,Membro da equipa de investimento Seedcamp.,https://seedcamp.com/our-team/,2026-09-09,Média,Base,
PER0008,INV002,Seedcamp,Sia Houchangnia,Partner,Sim,Decisor,Paris / Londres,Consumer; fintech; software,Pre-seed; Seed,Investimento early-stage,,,,https://seedcamp.com/our-team/,Ligar o caso a comportamento do utilizador e velocidade de iteração.,Membro da equipa de investimento Seedcamp.,https://seedcamp.com/our-team/,2026-09-09,Média,Base,
PER0009,INV003,JME Ventures,Samuel Gil,Managing Partner,Sim,Decisor,Madrid,Tecnologia; software,Seed; Series A,Engenharia; investimento,,,,https://www.jme.vc/,Começar por uma tese técnica clara e pelas provas de execução da equipa.,Sócio gestor de fundo tecnológico seed.,https://www.jme.vc/,2026-09-09,Média,Parcial,
PER0010,INV003,JME Ventures,Lourdes Álvarez de Toledo,Partner,Sim,Decisor,Madrid,Tecnologia; consumo; marketplaces,Seed; Series A,Investimento,,,,https://www.jme.vc/,"Enquadrar o problema, a frequência de uso e o comportamento do cliente.",Parceira na equipa de investimento.,https://www.jme.vc/,2026-09-09,Média,Base,
